"","treatments","sample","sample","centroid.otu102","centroid.otu111","centroid.otu12","centroid.otu127","centroid.otu139","centroid.otu143","centroid.otu144","centroid.otu15","centroid.otu150","centroid.otu161","centroid.otu166","centroid.otu17","centroid.otu172","centroid.otu176","centroid.otu18","centroid.otu181","centroid.otu183","centroid.otu184","centroid.otu19","centroid.otu192","centroid.otu198","centroid.otu20","centroid.otu200","centroid.otu201","centroid.otu202","centroid.otu207","centroid.otu21","centroid.otu212","centroid.otu22","centroid.otu220","centroid.otu221","centroid.otu223","centroid.otu228","centroid.otu232","centroid.otu233","centroid.otu239","centroid.otu241","centroid.otu242","centroid.otu244","centroid.otu25","centroid.otu251","centroid.otu252","centroid.otu255","centroid.otu259","centroid.otu262","centroid.otu263","centroid.otu270","centroid.otu272","centroid.otu273","centroid.otu277","centroid.otu28","centroid.otu283","centroid.otu284","centroid.otu285","centroid.otu286","centroid.otu292","centroid.otu293","centroid.otu295","centroid.otu298","centroid.otu3","centroid.otu303","centroid.otu308","centroid.otu309","centroid.otu31","centroid.otu310","centroid.otu314","centroid.otu317","centroid.otu319","centroid.otu32","centroid.otu320","centroid.otu322","centroid.otu326","centroid.otu330","centroid.otu334","centroid.otu336","centroid.otu337","centroid.otu34","centroid.otu341","centroid.otu343","centroid.otu354","centroid.otu355","centroid.otu356","centroid.otu357","centroid.otu36","centroid.otu360","centroid.otu363","centroid.otu366","centroid.otu367","centroid.otu37","centroid.otu4","centroid.otu40","centroid.otu42","centroid.otu43","centroid.otu44","centroid.otu46","centroid.otu48","centroid.otu49","centroid.otu5","centroid.otu51","centroid.otu53","centroid.otu54","centroid.otu55","centroid.otu56","centroid.otu58","centroid.otu59","centroid.otu61","centroid.otu64","centroid.otu67","centroid.otu68","centroid.otu70","centroid.otu71","centroid.otu74","centroid.otu75","centroid.otu76","centroid.otu8","centroid.otu9","centroid.otu91","centroid.otu92","centroid.otu94","centroid.otu97","duds","ISD"
"1","Aatrex","202P2T2","202P2T2",0.000408266248680469,0.000227222141233704,0.0024209170508333,0.000230130935644156,0.000247322813373631,0.000236803676473188,0.000239665773873789,0.000231812909725925,0.000212375775674402,0.00022102223694179,0.000225854131901596,0.000227331593686104,0.000223269518192586,0.000225746364397949,0.00076738275188794,0.000212966040217653,0.000225401469144939,0.000209723206871329,0.052898325720462,0.000220585324580056,0.00023305828157603,0.00022708888267946,0.000205302758719299,0.000220360839672334,0.000205639041568831,0.000211872233517914,0.000591859799449836,0.000227886028297181,0.000264011252951047,0.000212703137339611,0.000234469946551422,0.000225783273839454,0.000217809654945547,0.000210527311804412,0.000225962300323227,0.000224372399955999,0.00021846143069169,0.0103647268763829,0.000408033320000792,0.000235402054848365,0.000233076955515837,0.000223862350255587,0.000219120275108528,0.000219460233240297,0.000228587749744806,0.000231012745031409,0.00685020826013037,0.000229353272620741,0.000254106826508608,0.00021688076557572,0.000235360725086965,0.000224990644348312,0.000219209722276504,0.000209196362483103,0.000229604764903378,0.00106254189339259,0.00024815556084264,0.00020013700285735,0.000215616576592397,0.450387384683126,0.00022686905257292,0.000232125486562886,0.000249046859179541,0.000457823396254132,0.000215943311330818,0.000199540147326553,0.000220351241590149,0.000246584668272198,0.000394307610909184,0.000245670000926686,0.000255979927557044,0.000246446293403208,0.000224451112872115,0.000239819350084864,0.000228616889075404,0.000203424569294615,0.000917138196848404,0.000215228223734814,0.000216804893130846,0.000222670632091012,0.000210707402597017,0.000219777435186432,0.000232426412879348,0.000401667299991286,0.0002260003168206,0.0002019403417229,0.000229344961279454,0.000210927896834741,0.00039237988296734,0.00450307550094766,0.000232367711466627,0.0179240958150145,0.00027000127611016,0.000734514376457069,0.000202986162322012,0.000234775809866865,0.000721921527808355,0.000443435600489819,0.000381488726927947,0.000270306399341325,0.00022125339467836,0.000247879451450955,0.000225831336312086,0.000894839579327297,0.000227900761202202,0.000236472005645226,0.000580130008762987,0.000223841823731958,0.000238815245739335,0.000235156675161773,0.000232766580500518,0.000216126516219952,0.000200411433256444,0.000235977153603538,0.00182871059495626,0.14737692499381,0.000229861960518155,0.000252748598013905,0.000223307583264099,0.0198709455635344,0.252419099977674,0.00226269216403504
"2","Aatrex","304P1T2","304P1T2",0.000903530636601028,0.000837170331735783,0.00083878984931759,0.000832605131471373,0.000925860916080805,0.00513944226357945,0.000841526469576498,0.000848858018408567,0.000890031311823111,0.000791183204656702,0.000827616258836222,0.000825016795743744,0.000865309498060662,0.000852800071465587,0.00811047325030046,0.000857780944334126,0.000814943577574381,0.00084594635270988,0.000988659198321175,0.000792672784276365,0.000764837593970013,0.000874828005853614,0.000782605874621887,0.000925198594720307,0.000805587593268366,0.000790379490080099,0.00227975383454991,0.000833120133229471,0.0010534523503495,0.000938488439773607,0.000840121753153204,0.000811605087976905,0.000783441717943199,0.000874247785064433,0.000843855452393648,0.000855578676220923,0.00198418975297595,0.000878769321600196,0.000834748409318053,0.00100054859379592,0.000835380475639737,0.00753817468875513,0.000796043051673038,0.000790098456273356,0.000878207414822562,0.000825252897531794,0.000905567985736081,0.00087932098446691,0.00199171301922692,0.000745967481524296,0.00764422290745554,0.00457306446703195,0.00454284520984842,0.000887292749504465,0.00275499270166245,0.000820534430149395,0.000844366476843774,0.000738434598093586,0.000785699145007455,0.000997428570433226,0.0008281913500515,0.000738291918587303,0.000797612712549544,0.00146356520053419,0.00470334655744912,0.000812252194511288,0.000825738151620047,0.000876844796538748,0.00077088476685684,0.00339181782317905,0.000856321053804856,0.000797465548997652,0.000887643319611111,0.000910874766804259,0.000819843662229321,0.000834235016416281,0.00153804144889782,0.00077543527989484,0.000809820530946961,0.000878653955181735,0.000852161510542202,0.000745486402145461,0.000879628163504316,0.0020951246788537,0.000894956417384126,0.00350878683920104,0.000819201159720033,0.000818586836962541,0.000893491280641836,0.00431194273680537,0.000922815594198096,0.000872107041291773,0.00224119274902159,0.000913196421664388,0.000835021555686521,0.00150898106399726,0.00145173994764148,0.00962422303926683,0.000934335298488996,0.00345370630286493,0.000848812769448352,0.000948339654278184,0.000885515527232144,0.00147132681648026,0.00099511433821258,0.00214981883688963,0.000974685402228852,0.00353296121139174,0.000844423725372069,0.000926177926787599,0.000927900897439081,0.00083013008299027,0.000852195289256384,0.016622406013676,0.0061286965507226,0.000899234559917279,0.000874202842948484,0.000912462969869892,0.000868099798615941,0.000842922478077767,0.651471281686191,0.153139542490017
"3","Aatrex","304P2T2","304P2T2",0.00102752089524378,0.00105504987312879,0.00113619286470619,0.00106716289169087,0.00117417800375577,0.00119555443353898,0.00108782045035335,0.000977367890869524,0.00110497756773129,0.00105216185721614,0.00108835800139761,0.00095784927303076,0.00109550084339562,0.00115808136274924,0.00127664109327319,0.00106257855424936,0.00100171827710187,0.00105659825360722,0.00113129240850303,0.00100081730827402,0.000893340118691585,0.00103127317325139,0.00110168707166847,0.00196032839390211,0.00095228990369717,0.00106651017759615,0.00111555305363748,0.00113323302352311,0.00918443271244994,0.00102365951800191,0.00105778528694175,0.00101145420545923,0.000932697453696858,0.00106849009563138,0.00109673530632604,0.00106817860288809,0.00110503234786334,0.00112244362518232,0.00100353235962921,0.00278278065095168,0.00113386356734459,0.00110319835355504,0.00109584333327945,0.00102064206846234,0.000976124914047195,0.00115692706554965,0.00108926994969308,0.000997444722749553,0.000976169735972144,0.00113588909534496,0.00349911999187321,0.00113317148160267,0.00098689567450328,0.00100195847287995,0.0011338873348166,0.000992593314725952,0.00105277444837704,0.000979499450741845,0.00106559340988405,0.00123152696411576,0.0011957358806676,0.00101423623365723,0.000969131422376535,0.00512804673333698,0.00111581563480641,0.001147227573057,0.00096516951146392,0.00118218419859354,0.000953096166469,0.000973643788325035,0.00108586306419358,0.00115183967786259,0.00195725857325019,0.00107465109749725,0.00105813409484406,0.00101453635838876,0.00109776203353678,0.00104301393234913,0.00105412891923392,0.00100828360586331,0.00103734135016821,0.000931130467412069,0.00105375291035889,0.00114031804786367,0.00109406703972386,0.00107109473662147,0.00107786647596268,0.00111254645352861,0.00103518405458474,0.00122565674016669,0.00105394738991241,0.00113195907791244,0.00109089789624344,0.00114216267404285,0.000989096026061134,0.00104658405869339,0.00103806363734515,0.00295588045999357,0.00104605489722795,0.00206878675103846,0.00101664539548583,0.00110484576128501,0.00105027483906409,0.00116447827779473,0.0010187794395695,0.00102733219914146,0.00106063954370412,0.000929469854419026,0.00407258296766331,0.00112931059398131,0.00108605901904753,0.00104191949629609,0.00103800616063862,0.00110100456441925,0.00175223771804877,0.00121855457916762,0.00102660669403491,0.001874267463935,0.00102445660834443,0.00105753798647341,0.809825091131028,0.036666497527499
"4","Aatrex","304P3T2","304P3T2",0.00148915059343646,0.000569084851196749,0.000516206384941476,0.000547721807318224,0.000588798058192985,0.00145681924699875,0.00139171302287668,0.000530519009785857,0.000597054185670657,0.000549265225966807,0.00052875505701023,0.000531076359925932,0.000567427056173767,0.00132174763413329,0.0010442108119874,0.000516022525043972,0.000552998112455626,0.000534927954614226,0.000551561867550272,0.000592801123143726,0.000561973397423047,0.000523883828898392,0.000504337568136782,0.000549957214786643,0.000558617142597274,0.000512619212382874,0.000584830729523789,0.000502524453001054,0.00138410505831369,0.000487627057549869,0.000582721086888256,0.000553978828977379,0.000493732751576841,0.000504655991589502,0.000569904266192618,0.000553411450734083,0.000550317280761992,0.000557993635323281,0.00053564028997202,0.000595106909343123,0.000954831513372375,0.00053871420699643,0.000514210614787549,0.000514346509616522,0.000521299238346843,0.000604900511967638,0.000580800357121359,0.000555488842364391,0.000542723982072974,0.000590313444579917,0.000551406898807137,0.000495266349430927,0.000586433022201441,0.000521799854236242,0.000525486438719146,0.000566719762424266,0.000552628331820131,0.000521637656351032,0.000540478444539952,0.000687731785513753,0.000541000154146134,0.000585889450456873,0.000540100343023635,0.000558714688556408,0.000601513159027332,0.000492859768269541,0.000583960691142702,0.000535606359683261,0.000538794641601747,0.000541693746081483,0.000561716684487646,0.000599927851850494,0.000538345821281748,0.000551536782360315,0.00143721251399529,0.000492742917549162,0.000531859579879833,0.000520224064188646,0.000535234977287744,0.000504152944217387,0.000586234715232252,0.000549488840981985,0.000498226872722681,0.000548965137792341,0.000600946677772574,0.00056198813626632,0.000536081665075145,0.000498594168561776,0.000553975800962944,0.00106409985371399,0.000591561437605099,0.000588163084446996,0.000550435504553514,0.000590350246995191,0.000497109576229521,0.000551957624200167,0.000526373716998663,0.00155886653183027,0.000576815090414266,0.000607879980348419,0.000500346456874322,0.00101162298146567,0.0005770891538163,0.000570840026165045,0.000553454708937101,0.000572694749276929,0.000558517009415513,0.00057003809557804,0.00138455789908129,0.000544957082506206,0.000969756179753768,0.000546456793167868,0.000530510841558555,0.000620029091008468,0.00436058962253868,0.000588399323000903,0.000555436166528166,0.00141078413830678,0.000576480406488833,0.000583271238886187,0.869795356724586,0.050074592701602
"5","Aatrex","405P1T2","405P1T2",0.00119860602592594,0.00119494016567336,0.00116371341168628,0.00112180922761026,0.00389925837458162,0.00129049905081942,0.00128134003559429,0.00128163405609133,0.00104344868518657,0.00123314915316411,0.00225303182823364,0.00114552179001729,0.00215282802571363,0.00217614203532558,0.0023782268733191,0.00120461190966647,0.00112340956744156,0.00122340147415744,0.0014434439835688,0.00124526429340162,0.00125988122274115,0.00126575834694461,0.00118206448324026,0.00121690417877813,0.00116411840489405,0.001187505345055,0.00119671429883667,0.00110847914956825,0.00166652590179555,0.00124150322476207,0.00128439444305641,0.00114144628128933,0.00127772001210614,0.00104567362048367,0.00230777763080039,0.0011960596782658,0.0011306106267799,0.00132642805398685,0.00121849126697297,0.00123908743691508,0.00109392767191986,0.00115274360866778,0.00115987314754258,0.00121791030823955,0.00116561301421023,0.00114951393049577,0.00128427621512273,0.00215128496607738,0.00127843636685114,0.00117664738377206,0.00128702262659601,0.001178821219289,0.00117837874246954,0.00124892512125585,0.00127931531149519,0.00109042811557557,0.00120850995876043,0.00122806465077358,0.00139267671645032,0.00140520278969323,0.00129909311750098,0.0011796238021763,0.00115216038637395,0.00225837490759439,0.00121722572673598,0.00119217287372746,0.00117120573016117,0.00119664905876777,0.00112853425694473,0.0012751995246007,0.0013530626687946,0.00112003546352901,0.00124179185385233,0.00132801393828539,0.00125519656836887,0.00124179908716464,0.00300739012354996,0.00110591452294621,0.00114223897598031,0.00108252885078888,0.00124207016270895,0.00117545126704427,0.001162264606534,0.00127406650140573,0.001210922838033,0.00128781442646217,0.00115750128649877,0.0011539472935107,0.00112884941542873,0.0163805674028725,0.00123814765535396,0.00124502155736317,0.00120902651647619,0.00308982765819161,0.00112744799862488,0.00107193704061251,0.00226350475443661,0.0144627746533046,0.00131592117464396,0.00211305249965353,0.00108779866754309,0.00138619835988397,0.00107861764499991,0.00134696613783749,0.00127927671738362,0.00127839003213138,0.00128229381879261,0.0013322540229618,0.00134241458961416,0.00214164646958083,0.00321186268932964,0.00124804470239296,0.00121562589176789,0.00125332329346471,0.013225993974592,0.00132554281650115,0.00125298503434892,0.00719124508619883,0.00141605131880388,0.00126672119971358,0.767606182818709,0.0209332411267369
"6","Aatrex","405P2T2","405P2T2",0.000449878698687967,0.000463156501640706,0.000139721164866764,0.000139101567104688,0.000438861400729907,0.000145819281726435,0.000149469353405122,0.000143444367547305,0.000676485139128994,0.000137045911442364,0.000144584420402309,0.000142118066470756,0.000332282096578932,0.000135688527184991,0.0037509725764847,0.000137334915463719,0.000131463626691272,0.000141164658112798,0.000270143660287943,0.000140957640544218,0.000140078367699226,0.000135007747026596,0.000157266404004091,0.000238360478497867,0.000132281029062915,0.00014011587191029,0.000370498494773596,0.000136817997319286,0.00138590509221368,0.000742107610329926,0.000136651824804484,0.000138140030849559,0.000140336985886368,0.000137906746152485,0.000152212003807195,0.000249197147985971,0.000141667245292048,0.000158988191003733,0.000142851431908436,0.00121055964752174,0.000541334965703153,0.000153548721087636,0.000135582654416536,0.000134758622790491,0.000128620066528681,0.000656433459155646,0.000146556563927813,0.000370767945232948,0.000124056846194199,0.000136643990272843,0.000256782236198667,0.000128281298072416,0.00015632460766303,0.000158411043917047,0.00013886738885575,0.00014177522325627,0.000130160206642255,0.00014263757551373,0.000138280854532365,0.000252443329034913,0.000138856445691777,0.000134458247218738,0.000143611341274524,0.000157512891084316,0.000143898058271591,0.000137974189402334,0.000141696139421158,0.000956124558309945,0.00012117257982667,0.000142564702306473,0.000140709241041425,0.00014117596000763,0.000148165226023679,0.000131511517185614,0.00014555782973609,0.000136212801320696,0.000154955725774804,0.000146658110664746,0.000142580668074451,0.000140052243175809,0.000137015133947063,0.000145540098815903,0.000148915687195527,0.000143663294064586,0.000119690090671505,0.000154095821725896,0.000142866764931771,0.000139576810277713,0.00012328337809746,0.00225393084215985,0.00159073185967221,0.000156066450144321,0.00013834797668196,0.000432385850255772,0.000134446046972706,0.00015619235269214,0.000140401890451843,0.00405611238864384,0.000560871336045622,0.000563459899366184,0.000140190281495088,0.000132265496748259,0.000137134909276086,0.000133000659320962,0.000941369003138927,0.000354385536068637,0.000136837521324972,0.000139161802244873,0.000239599589067155,0.000330162014307722,0.000422349524648745,0.00013531921201981,0.000370482483173245,0.000139506038343512,0.0083116129909403,0.000153865275532304,0.000140153865522624,0.00015511737283617,0.000235411960486358,0.000147900299483718,0.946821834122092,0.00663038607175435
"7","Aatrex","405P3T2","405P3T2",0.000167388280229657,0.000164352912584989,0.000167229727608283,0.000159138323023544,0.000642852734000895,0.000163510313355611,0.000146826511300298,0.000378401950121113,0.00017491935895747,0.000159313322763568,0.00016139147957246,0.000162555063959185,0.000161583480274727,0.000162744063240432,0.000538550324072631,0.00014826428884036,0.000158528450033014,0.000163678280696083,0.000169224995355157,0.00248765827020541,0.000163906428463522,0.000184092219261686,0.000160624177179854,0.000157823217522495,0.000153633098661203,0.000157806346472486,0.000378087787930094,0.000159300109227067,0.00267253895069861,0.000163972539287926,0.000166850543866574,0.000150414411626055,0.000163605497508696,0.000158367896828258,0.000258700372610446,0.000162331573975251,0.00015513809362965,0.000176969320392254,0.000285526726451898,0.00133691713951135,0.000164595270069914,0.000163597125978401,0.000158728082900097,0.000150989707997034,0.000177168978957548,0.000160314065605033,0.000157248783400416,0.00058487317953204,0.000159508079503551,0.000152661869108103,0.00016266080411381,0.00016416598501471,0.000146250667793047,0.000154243035655414,0.000158818220881618,0.000166675584059231,0.000144931659878388,0.000164166465048762,0.000140902601250023,0.000177402916990725,0.000157190018141051,0.000148438826761682,0.000162320411212503,0.000530695080161629,0.000155848714436886,0.000146911686964436,0.000155422953858838,0.000151384172811215,0.000165136269154442,0.000156946122112218,0.00015624142319113,0.000160988293914589,0.000152959687437708,0.000383465765770419,0.000156958700882623,0.000152921483715015,0.000153882733849434,0.000158668256900222,0.000155426278133887,0.000160352771408865,0.000159418553161549,0.000154344713303668,0.00016794751740264,0.00207247244978928,0.000159591192231008,0.000162374995946006,0.000154624900083503,0.000157357982461966,0.000149186229767707,0.000655354940753319,0.000293185151687613,0.000182665963450786,0.000162909709022156,0.000171039522777857,0.000132834612604788,0.000147287606951561,0.000165076769956443,0.000669619236824651,0.000404663169101198,0.000912947521232544,0.00014520851475932,0.000175215815198087,0.0001671545597672,0.000170082795970402,0.000155811853091575,0.00147714424620424,0.000173395140161958,0.000163939063701596,0.000659760746711213,0.000163407825449447,0.000189362996850427,0.000171403519588874,0.000169815141909797,0.000156706610729341,0.00201679752505023,0.00017863640786267,0.000635963098418613,0.000310220984503902,0.000999651255829499,0.000163455281210971,0.959089282919075,0.00389589964358893
"8","Clarity","303P1T2","303P1T2",0.00144291796815328,0.00162776367112439,0.00136728446164564,0.00129028359547067,0.00155642774025231,0.00130934108141431,0.00132472035495765,0.00156041385042026,0.00162101038497909,0.00128314518690883,0.00123829994682883,0.00124676341491426,0.00142126595826006,0.00135640543966745,0.00382071627029932,0.00140679886758385,0.0012395384764391,0.00137119430649665,0.00128838118228978,0.00151817992951909,0.00145161744101598,0.00142136888427019,0.00138684223808667,0.00146557560102548,0.00144326824900584,0.0013792228164668,0.00163246467963039,0.00146036060333502,0.00380409427346717,0.00130360339449051,0.00143021766804824,0.00134915657341549,0.00150697310117074,0.00136577782085716,0.00135473041733591,0.00156426758566198,0.00145249373067591,0.00125781843632299,0.00130153986167501,0.001528282075757,0.00141104461185789,0.00135884557933545,0.00155887195293849,0.00143601297841971,0.00120411608111622,0.0013092405324253,0.00133814741599605,0.00140273078224775,0.0014308297223761,0.00133658087619779,0.00179922272130187,0.00129031109879434,0.00125773583953519,0.0014167438856563,0.00148937738771172,0.00134754593208768,0.00147890326720695,0.00136044238777858,0.00135503235478941,0.00128026980655058,0.00127356732955068,0.001341184703047,0.00134831062743159,0.00283421120057147,0.00145737002415385,0.00180799019327714,0.00143195934198873,0.00183642323146476,0.00144306770505011,0.00140379041518634,0.00146787919060519,0.00152541741896919,0.00145097802003666,0.00142984856338248,0.0013206584996557,0.00136139705549569,0.00178569999046048,0.00145394046320702,0.00125361225829111,0.00131179757476634,0.00130461072799526,0.00153286632411061,0.00137086964727103,0.00177598516397396,0.00141316911702081,0.0014296199364798,0.00128315473474099,0.00145307259751685,0.00165385905183009,0.00386257592097646,0.002596063421546,0.00146377853805243,0.00139479896232419,0.00138944826514233,0.00128483012106682,0.00253667085295577,0.00139411348101787,0.0063898718017911,0.00166465525727731,0.00187216050181116,0.00163082715491614,0.00156705434568167,0.00165935047354006,0.00153157375649056,0.0015016974609795,0.00154255200746124,0.00151415354153523,0.00145698466775139,0.00129737825617229,0.00143845033271578,0.00151268385928599,0.00131614251665457,0.0013682347651386,0.00139497016855107,0.0030093469183369,0.00132760789797265,0.00150174505570165,0.00152391963643708,0.00216604551750312,0.00143192377365618,0.729471854791042,0.0802176921173216
"9","Clarity","303P2T2","303P2T2",0.00107665243607967,0.0013179984043008,0.00112136179056166,0.00111661373188713,0.00135265589946785,0.00120546868425901,0.00124087753179826,0.00200699192793291,0.00140481365063769,0.00116611375685819,0.00117092020279804,0.00110217329845699,0.00176373959730155,0.00122765139182012,0.00310234491041254,0.00127585953954367,0.00108928451515239,0.00109062362977606,0.00109419212038382,0.00302131291723848,0.00123079055238058,0.00112851521106184,0.00121315905431457,0.00126137105199524,0.00122929946876862,0.00127989442945689,0.00135232718963847,0.00113711111542325,0.00229238844257302,0.00112918640725615,0.00125522328843928,0.00121501390560102,0.000999507543513802,0.0010859906903971,0.00107679509619666,0.00130206960181002,0.00138164511290143,0.00110866892900803,0.00112440123552108,0.00126588427609138,0.00125469723691321,0.00128373260023104,0.00127835584119222,0.00113854162594911,0.00125277540379083,0.00117258848728048,0.00129906303579325,0.00118058001219952,0.00128120514758493,0.00132192707769769,0.00151997240376146,0.0011298121401202,0.00122188825100782,0.00121609958150106,0.00123752190266413,0.00111653912908978,0.0012332178347925,0.00117891988698849,0.00122067344553157,0.0010527794108806,0.00117719428857449,0.00110982268694848,0.00121774030218028,0.00312718934856304,0.00121823329038198,0.00141950431563358,0.00115731907708341,0.00147269722889931,0.00108151727720924,0.00114914722366682,0.00113876829659909,0.00131606943266295,0.00110676437948338,0.00173631274610883,0.00129033445059424,0.00110809963247228,0.00139414698578581,0.00114686087468699,0.00111074524434821,0.0011821079449855,0.00112607811711173,0.00185513305735453,0.0011839244420788,0.00138529504605623,0.001238008800849,0.00115758021304469,0.00110744207498735,0.00132661012608065,0.00184573487103229,0.00389889276983458,0.00166956439111701,0.00122915047827322,0.00120836254516135,0.00115070517634466,0.00185164239898861,0.00439460226569787,0.00188275845987889,0.00719335796440568,0.00151562779354408,0.00159471112391386,0.00126227838843353,0.00129462873291233,0.00173784414956876,0.00130193194858567,0.0011537497505891,0.00128358545572384,0.00119787715471449,0.00119626066664674,0.00120630118979801,0.00113078748132382,0.00128183776605218,0.00106138124617894,0.00113235380917417,0.00112672059518879,0.00728527751649057,0.00111710753931106,0.00137935124530231,0.00205118034519963,0.00173418692705244,0.00127460642686684,0.667370995148247,0.155336216380031
"10","Clarity","303P3T2","303P3T2",0.00145262702480541,0.0023325702159617,0.00132837721831131,0.00120463725600086,0.00159175766335268,0.00119149780138906,0.0013854799150746,0.00224579292501204,0.00198716548827874,0.00121329030654934,0.00132861658177455,0.0011645004578741,0.00134307733369963,0.00125600354365426,0.00277238910041517,0.00130026542773445,0.00123889783112048,0.00133306116963692,0.00129625952445309,0.00141245341270007,0.00133777792512032,0.00137044697554455,0.00143285545843268,0.00141729267802764,0.00130653495174289,0.00122034083553452,0.00151816807111998,0.00136865536313,0.0023257530456176,0.00135457060196847,0.0012551289359342,0.00131403280541054,0.00118204743438137,0.00124574360039654,0.00131759733699692,0.00135794649510303,0.00140583080217163,0.00139134811258558,0.00129423790784343,0.00143932247993175,0.00128325541691232,0.00128364301803675,0.00144124499718615,0.00131394392997429,0.00136299032182055,0.00134632522989691,0.00130905738027443,0.0012847609305819,0.00142203881390864,0.00126982085551113,0.00171859731127355,0.00126189002533283,0.00124870429840936,0.00132473554294392,0.00136823249533911,0.00126724276891547,0.0013130117608005,0.00125320461888766,0.00126831453468006,0.00108631120820958,0.00130692552474797,0.00142445921477086,0.00140436429346835,0.00323895268245433,0.00132686436794073,0.00738526987575563,0.00149270162386655,0.00163791726303005,0.0013450360296895,0.00136929813669798,0.00126739530290309,0.00138682671549256,0.00123436665561584,0.00144704814193171,0.00116893920604069,0.00130302724354879,0.00162076128315039,0.00121095776493797,0.00123714795310689,0.00126740128289486,0.0013476141128835,0.00206567562580196,0.00120491349969427,0.00154827010699136,0.0014155653515588,0.00141588317292539,0.00124863247854612,0.00150393895063176,0.00147809257422015,0.00379626457340324,0.00239096151927064,0.00130499695504391,0.00137459796253495,0.00135398708963677,0.00138318776192764,0.00226077148865357,0.00143996299339644,0.00483403120142054,0.00172564986435922,0.00192099262990332,0.00136118951855477,0.00152131843868821,0.00153128438877303,0.00432082280789803,0.00140650076848945,0.00147093720624124,0.00128519541788241,0.00134633597998314,0.00126377653624601,0.00131725259972068,0.00147192741139706,0.00119419589635229,0.00138357892136826,0.00127428474299323,0.00683200096477371,0.00147034760242481,0.00138814917203185,0.00153241835213452,0.00200417653600788,0.00126219801763185,0.758590532886559,0.0480202478853132
