"G088SG","G076SG","G065SG","G079SG","G082SG","G090SG","G101SG","G093SG","G082SG.1","G105SG","G112SG","G062SG","G089SG","G074SG","G115SG","G065SG.1","G071SG","G087SG","G100SG","G067SG","G093SG.1","G120SG","G075SG","G112SG.1","G072SG","G102SG","G086SG","G109SG","G066SG","G096SG","G068SG","G084SG","G068SG.1","G077SG","G102SG.1","G089SG.1","G081SG","G083SG","G103SG","G080SG","G072SG.1","G075SG.1","G063SG","G097SG","G111SG","G069SG","G118SG","G103SG.1","G088SG.1","G076SG.1","G097SG.1","G090SG.1","G085SG","G117SG","G078SG","G098SG","G114SG","G064SG","G117SG.1","G104SG","G085SG.1","G071SG.1","G074SG.1","G113SG","G114SG.1","G115SG.1","G069SG.1","G070SG","G104SG.1","G086SG.1","G095SG","G073SG","G108SG","G078SG.1","G091SG","G098SG.1","G106SG","G110SG","G096SG.1","G063SG.1","G094SG","G107SG","G118SG.1","G117SG.2","G083SG.1","G062SG.1","G080SG.1","G064SG.1","G101SG.1","G095SG.1","G106SG.1","G120SG.1","G091SG.1","G105SG.1","G077SG.1","G081SG.1","G110SG.1","G111SG.1","G087SG.1","G094SG.1","G073SG.1","G079SG.1","G084SG.1","G107SG.1","G108SG.1","G070SG.1","G100SG.1","G067SG.1","G117SG.3","G109SG.1","G066SG.1","G113SG.1"
1210,4805,4220,2931,184,1205,5423,457,0,238,973,2758,239,3158,679,3537,9586,180,877,2267,443,151,3920,158,8048,372,1912,4516,2874,2456,5363,1511,6313,7476,2307,1107,899,741,1249,4112,7563,2861,464,5306,1000,4721,3142,277,523,2855,7143,2563,4061,4342,827,359,4420,10915,681,2165,373,1774,480,871,757,11,5887,5707,259,1715,309,10061,2373,1277,2192,1775,1786,33,590,416,295,13,1300,1592,702,691,3348,4669,1330,2528,1723,13,2093,1885,6469,548,222,4349,165,1751,7174,1658,17883,3263,4444,14008,1331,2927,176,832,2636,348
406,1781,519,587,41,80,396,230,0,9,308,396,43,520,18,271,3224,26,94,356,286,12,512,31,676,34,201,336,385,251,561,50,511,842,245,195,85,933,463,577,602,355,152,876,49,446,216,88,201,2168,1006,261,655,462,274,23,209,3017,358,201,35,479,63,266,37,1,598,384,14,177,17,757,222,324,398,117,319,5,60,116,26,4,57,133,638,73,507,732,66,258,261,4,513,221,694,32,128,205,18,356,723,435,783,995,751,1257,169,383,60,40,581,81
6,3,20,0,0,0,102,16,0,1,29,0,0,0,0,0,81,2,4,17,0,0,61,0,33,7,2,0,0,0,0,0,63,25,0,1,0,11,26,64,42,40,4,0,4,0,0,0,0,16,264,19,0,85,0,0,0,63,24,7,0,0,0,0,0,0,21,0,0,0,1,82,0,17,92,0,40,0,0,0,0,0,0,0,0,0,33,28,0,114,55,0,56,7,9,0,35,76,0,0,34,27,25,0,0,0,10,33,17,0,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
10,18,23,90,0,4,37,39,0,2,6,0,2,10,1,16,4,0,1,2,17,0,44,8,36,8,35,26,25,67,31,0,12,22,9,0,6,22,13,17,121,12,2,82,8,16,40,5,16,14,94,16,0,90,12,0,49,212,64,66,3,3,2,17,9,0,33,9,5,44,1,50,17,27,39,9,7,0,5,4,0,1,6,22,8,5,10,83,24,29,0,0,37,7,11,1,0,3,0,7,22,38,28,71,25,37,13,11,1,4,26,1
0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,48,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,13,0,0,0,0,54,31,0,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,1,122,1,94,0,0,0,0,0,0,0,42,0,2,0,1,0,0,0,154,16,47,0,0,0,0,0,0,84,0,0,0,5,293,0,0,80,0,0,0,0,0,0,0,0,0,0,0,2,71,0,172,35,0,1,1,0,0,22,0,0,0,1,47,0,0,0,0,19,1,15,0,0,19
0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,1,1,5,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,3,0,0,0,0,2,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,3
